Run:Fill,LS,HLTpath,L1bit,HLTpresc,L1presc,Recorded(/ub),Effective(/ub)
200473:2927,218:218,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,111815.497659,0.0747454778966
200473:2927,219:219,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,110667.056677,0.0739777777848
200473:2927,220:220,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,108788.795476,0.0727222136275
200473:2927,221:221,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,111264.706244,0.0743772895107
200473:2927,222:222,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,109441.183319,0.0731583163336
200473:2927,223:223,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,108420.997992,0.0724763514773
200473:2927,224:224,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,108529.520048,0.0725488953831
200473:2927,226:226,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,111080.358783,0.0742540584799
200473:2927,227:227,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,110041.747581,0.0735597764507
200473:2927,228:228,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,110666.066065,0.0739771155888
200473:2927,229:229,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,110703.11501,0.074001881754
200473:2927,230:230,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,109589.837095,0.0732576871518
200473:2927,231:231,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,110143.350786,0.0736276953011
200473:2927,232:232,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,107765.09979,0.0720379021959
200473:2927,233:233,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,108703.350844,0.0726650963228
200473:2927,234:234,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,109306.909979,0.0730685584274
200473:2927,235:235,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,109892.309661,0.0734598814537
200473:2927,236:236,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,108098.064523,0.072260479644
200473:2927,237:237,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,110998.237616,0.0741991628168
200473:2927,238:238,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,110034.556684,0.0735549695402
200473:2927,239:239,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,109553.738666,0.0732335563793
200473:2927,240:240,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,108596.369207,0.0725935821431
200473:2927,241:241,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,106654.00214,0.0712951650389
200473:2927,242:242,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,109399.454163,0.0731304215805
200473:2927,243:243,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,107707.933432,0.0719996881129
200473:2927,244:244,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,107331.131759,0.0717478069179
200473:2927,245:245,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,108287.38233,0.0723870332098
200473:2927,246:246,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,108512.831814,0.0725377397731
